wallet,token,roi_percent,realized_sol,cost_basis_sol,avg_buy_price,status,buy_signatures,sell_signatures
BArVTLWvoqDpgCMrHDvYZM6cqS7egct5L7U8FfL7HUJD,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,77.44,17.7494,10.0029,1.8983e-06,Sold,"4ijCuT5Y3vHjBrxTkgfZyE9eLpqmftvn9jKT7J1EYgQMZSEfgQ1oxrjEpZx84kTNxaCy5dKvWgM8TyYEEcKLCbHr, 5t7r9y4DnjXVBoznQyWdJpsFkG5Nhz2wVbwk7UvhnzdFUhJVuUHqzoMCzuLPGwhtanQ8hw8CwTvrBuSapAvYPgL6, 3p1dPe1WJ7icnW3vXW8JnxkM3u1JDxSU17NwzztkuZ7RVMnr9pKyBpHD2KuotaBvPt75yVDujQsWREVz3gEgVmhP, 559qMHtCvT2ws7H7HS7vRY34ECA7VSiqXJPaxEpDE31saRF9AY9QcX1UjK9jh6PQ3tbkKkB6dU9FfJe1wXurUjXK","2apVxtmtXxaGi1k6LhqdK6bdz1cS1V8bq2uKLEP4PJ2uLtTA7AoB8dQ9MPcLtJrewKjhunoMhb9a7Ns2r5jU3XAE, 2hsspyXNWZFR1HH92LBuQVN6bKuprxgjJqy58wocq4CXeb6PeLMACrp3KxpbdbqgshvziUjRAgqV7uj2g6Wrpuij, 3axjT4HSpEb6k1gA7jZA8S51fpRVTFS96cD37o8PhM5APcUfYVbPPgSRjo5Z7qrZDDRBMxc5ZgmM72AP28ooi616, 2YM4efbmWYcWn83w9hbtsF5dYMVzfuyhbkUkcoNnMWceNEn6pguuaRYfWLap39nQmzp1AaxujrYE86tKAMf7ajFr"
7pTD6KbAmfnZwe52DPykEwSkrUKSDHwdEPtd7ccNw5V4,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,80.59,7.231,4.004,7.88e-07,Sold,"59HvYN99UeCrVCHazVrazXWMRdbTV3X8NkkyqsxmPBceGGQaQF3TfPEFj7DiFnSGD5GxzuysbNU438fMuQu4vt1i, sUYhhTeCWpTWP4fSRD7ExYmXSuuEmHYrNqfSLHwYrGZp743ayQ9T2SS9hkGZT2fRu7yv6NdiLwNSTr1u2aFQzWW","5aS8s6nBG63toiKdXcW3xXwkwjRp7EpLtF8NUkyQvx7zF1m3Ejjt88ub76Xp44Z9QFFP7i4VdZV9GbPFHqdMrnwJ, 3RA8vZhPacpYic11X4yRxG3XA1qpdk1UAEihGPndcneftccW36c5Uvdr4qyPWScMjZSCLhoYqg6eo61mD7wsJc1H, 41qEvfLrLYqPKWtBgEDFJpJ9Z1QwNeuhWK9sQTkqFsBtbwQ7ANdXByvH2Cn5opWyWgWoNSAgBJ6tN8kNBXUN9svB, 3Pe5o9uWu2MUZKBdEit2uAbBHwbwMF8sUhvwtGiznrBZWLMrANk1cMp1BBhNrRhRkxdREsqB5S8x4v7WDQghWKrw, 3QNaTzXCqbZ2jt7RFCEGPfowiCzRATFGfyS6p5WcBF7FxqxFgJBCG7RtuVoZnpMeaVabXds8ycZqqK4D84QwzvMg, 4iZiRyLaAHbd3BM7d2rMvmEmYAeFNmwL7Yc5GuxELwmYABR6q8YtfTXMQzBHcKGK4HRaYFga25AaNvdrem2rQ6ob, 5GAranPChPrdsKoc6QT1EQ295UjA2rP7VNscQACyfwe69ZRzUmfc74kC2zeFU8E2cDZbS7V2aQ89XXPh6BChhZc2, 5vCpzqeWQt4uZddqXPLXFXQgJgUQK8uqDqoU9E1kNH1SzhYeicdqcsoeGCmxNVV1AhAtt4KjKJonKdeGmCPjd1FT, DtBcDCkaZS2rnkDK7ER4PJwZRxgDzzTQ2mEqZPAvBuRUew1C4UeFok7PF2Bo7PS7xfYVqb9kaNhXJE2E885WAdw, S3bTgQRVDxsqqaCT7cvbimPFwapbcL5LFGAiSJV1P2K2Xad2y1iux1y6w1FWvUcReAWbsfceVWb3U26XMuRTvM4, 5oYWepyRQZcRZP63WjjkXpjWEo3yYVKo2FMwRivM7yo5nQ9tDEQXRaVWYL3uiudgCLPdSiBWxkcjiGT52HHj5gDG, 61aFcaLUFteani7eY7TrMnA5KKgXfpxrXuSeaw4SmQNihjoGdRM3VaYTKnFxwsWwvgNVJyJUeQ5UPuyc9bhuyxNF, XC1SU3mvSJEh8UFSdU6AYeM2RwviX3eWNz3NgnrmZTDddaFPeeAha1fhnQjCPKpjnZUUja4Y5vdHXa4nVCwStdA, 24Qov6fzWeVRU9Rur1TPzaBte6az8KdKxckKwsmugHh2Yi6PkTDMTV1WMLpAKwjrz94BN652MV6qA9rWUk3zwkGH, PiDrnfeoeJkbKNyBsi4f8AoZ3SUiDvB3HhwR9yAGiX7RRjkCx27DnWQmBxXLErc5ErAbDXiWzABLx5N2wmvuZaY, QH9q5PAj6n298bFJwenfXrVeeUurLxpBDfsGwhg8sX8ju7pqfxz6i3oWEErjPW488HuGNRjsUUQEvLGppPnGccC, 5gbSw2DH3VJR87V6uPjM82scyfFHNVuS56T3eVoEaB1QvRDKABXfj8iz5zegQzA4NsnPSxuLfR2R2rVjDkdDtyq, 31s29Q5abg4K7HduhMRcBiPqkah67qZciW6oQWrfftZ6avbXkxjzk6wnkNvf9kzcMFRVePvUJHFcuZKDMqHHtchL, 5Jre4wTud3sqA2Y5LAg1uQ2w6KP7zGYSYMNzeWnwWVy8smNQwEFPKJ93Zu5tkwfGYMFhdM8yExSrfzr7mr8xvSve, 4dkKRogb5ScJBch8xDd6JD9DmAEq7jdxQwVf7KuMjhjeqNQNmVyLSdZ39Gq3QEAF59b3KuGqd7H8JasKtV51GVyE, 2BsapXayy9FZA3R2Cj8xUYwr2FBa4bGAVnBrmkfkDtfCN95FGH5gnpTNRYeYbvR2XeRG6ZpTYVJbVkbXDoEZ58SW, 3oSiU3FchEwuCwDS6kLE1yiLvNHfQsBu4UZ7vgVcgTPsQDpGbBF2dGDjQskiu6N8wBwz5fw7MMkorZL4UewxVNbK, vmcjS6gAQc1jdQeN7UdnRXNk29wvvUWFevpk7tuutdtbHLVRLkTiWpcBRuqi1Z4NiF7UxmbwLW2Q8XDRBHEdgjW, 2hy7MzSPgBnXDPE26NnpdSuESFATgGgvLigAGF13H1DyY9pfuccAJgaBrdVXMLqkf4wd1XF45Qi5KZw6xjrDfusE, 3kD6i55vfhK7312Lg2Eyq7g2QsA7bB1kiHrM5XhfcCdqr5T7ELVZHDMxJ3CRdLf7geCmUyC7iSKUoYaHBGaLk6qs, 3CSJAQh8kmnJBVLAcDY166rnu7Z933wAAxFXZveGFTbPk22F6SFiwZur1NgMe6WHeiFSbNHhndG9ofcNBawdc4kb, 2ZsDxB74XoysimbDjxgbu1pgLuyvkeZKCazp2uVjm8DZCFNF336Sjov8VJTJj7yNypJzUXY7yidiwvaYqmG7ntK1, 2EmL8e44JAt1QnkVXRJE1sAKd9QeUXes3iaq9VT5w4Qz9fDBrajAmoPrrNb69gg2rhaJYQuj3c9arPTrwNM1fki3"
4w1s9cviQLgXQ2y4dkj1JTDE1nkgj4J49bLiCMQb17tY,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,1081.89,17.752,1.502,8.25e-07,Sold,5HPQEY9QvhCD48tzbbUTZdyamUx2r7YF58cQWFehQrsdCLrML13wJmfk3xXCU3z2krwMMsGgy9GRLYLmewgdGtNY,"5VxBoBMJs8iAv9AFy2qTeURzsHVYECVBXfQTZmFNteshBgsw2gT3HzLRoXiCjnkUaYJQhPUxjbYmAcAgRFUJMkie, 3xxuX9AG5ujrCMqHcG37in1L42Pfp7xfUj1k612FuK9ZSmsUa5oWJemdYaovy8Zq6mFMtj7TiK9zniH5HAQqiQ8j, Lt9f4PbVrqwEGTFH4YheNFr3EkEKDtihPoejkhhfoK6xorpWqN99w2Gd9GcuN9PWLukwoFY6ZqLDCV8bJghttpS, 4zYJBMACLfEJJAUbkQR1FA2wvav9oCA9ThrPdhXhmw2onM9jzxaAzuBG2kfsAW6DX12XPWVKpYa5EEijJSvef94N, 32YV5cDNrbw5Ph4s1NXQz2ri8dZtjj5qAd7h5wUaoy3tw2JXAahb6HA4UzMwVGensT88DHLcJbQHMjLShtT3Ck1Y, 3z5nitvqTtyv9W5MGiiTr8F79PvXbZkgX4d7pun7EBPJjGdXHedB8jxfZHQQmbRAnL7QCrwCgMxqkv6A2V4FFWx9, 423rwBMjvK6rVvYmAP7qHneMkzn4mCJPngsZFxFFVj61bDvGLVGZeES6Dq2upfNhiAAryWADS5K3JV9gydKnXgN7, LHWBtyZxL7Sz6W8fB7vLLYtqrkaKTEcitaZMyhZEydnSfFyHDTaea1YG72j3n6zxSgzk1jmNTz8EoKXNBJiZVDn, 5T9T59gNhKvFyp1icrm4YnGZeVarckGR8ENkdT52GmZks32fenzUHeCX2Ph5tX1rEGvKY4UZLs9ZmWthquoUVoG, x6w793nSkR6QWBQMFfQBB5AbbQbMYqfUJ3ruAUuMiRzEfWpXVNwFF6yd1hXjFjC48siy5DhWZQqC8drWXpQ3QCq"
Fq8UYoZ1obJS4JUVTopoBED4a3ENMTFDvykgbPKDhKeU,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,620.03,57.8618,8.036,8.163e-07,Sold,"4K3cNrzTbxFKnmKRjLTXudhX1BrASnAe3V7xifg34E2UQYkiGrgNTYBwtcxAJE17xgCNeejsCeQaw8ZS9rhGb1CC, 2xjcQVt2Yk6WK6MBN6TSx6LHm6GJAVMmzmdQtwrrKYZG7tjekn5kLF3eJAhE7pfVJ3CzRo3nLa5X5wfC66YzCcjw","SYtJejQs2mKZFtTKMPZ1aPLZA2Hkve2GYN5fEreKq249Fm4XX2yJCKtVdHjmnM6xZvLT4oyoLdNLmBGrR65X5c1, BZiwkWGcAt7k7FVPGoG1EwiSYBoCMB5er3JbEvFjuoADdKZ6QuwWPbY53tVLFYTnEPXH8eQ4vLy6osqZjARpEhi, 2ZiLi47jdR3K9Uu9Ajtatyzn891g95TJR4NKcPoTrPj5wdxW12uxtTioh7PYuf1CXyZh9wvkVQescKnj18UFMRqi, 4Qo6cZpPgbdiYGfxbTyTGmebccQsjCSv34X9tPZf3etdmx7gcRrEkXTaKBccFZccDJbg5yxQtQVJaRgRorxSg4ZL, 65WceEp2296o64QrhRSCaDsWnK72h1E3cS2HbPLpvs68hsGhGaJbjD5MarnwxVenD974WUYm7BJUq4o6ktiSFNo1, nPHTe5S6LCAQfbuuuU1AhMdqjVmcj24c2ttoqEvwTDJdH6DZv58DXDQYfqTKKRmivhwUW7zgCTWA92yr11eXoPH, 5ahMkQoV4oESBRbAbunMkHVwDvdjYHJNMHXfV8BXiAfKqWNhWERcTaCkahP5HnQSaPYssyYwXoEbSGMvFkujieaK, 35nyj28DBfZpG3awcuXv5szkzUTKGDk4CMNebRkPSpuJPdpkN83eupKqZ6fVnUdWeBeCMKHkvzYtRPv33LT4wzsD, 5Jibwu8N8pnZ7oDP3rCGLG1HV5JD8F8eUaCRwdKWqcmkjdcucwxK2zseauBstRTkXvYoy1AczwdFfWNg4o8DZi1k, 3USZNPjsnBcPz6juhoth7EJNdQ8WXacDCPc2w7YBpUuG3t3sL1y4311Ec84joym8tF1YFeopG78VKw2ndej1TdVN, 3twYbYDapLcYj4f6twvVyQkQCEmNJKB4oj13nQwuVi4c42Xs4fHc3FUN3cWXkEbH2ZPwDVJTxFDEG9sPMmFsbJZu, jt9BPez4FtZ9xnnP8ZtBVernksy9TpjJ4KpqVSqkVjbtYBsEqXeUaNRsSkfPSXBameZdjs5JcKcN2phpYg3YVsg, 2rc4vM8LnFjtHfW2zJvXyTSmiRv3xb7HWF3G2vJ8uuqWLcDtzeQd7y2yNhZXg7kMeT1hUgdXH4MAaQw8qrVH9tDg, 4DbM9j9V5WPLp4eL7Lkgs5qmwXrp2DeZZcu9bx2Gws4bjrXFcU8kR96YGW9KxTGRFD888A5DpLJ7YfD17rPd3XFK, 5H4jKBQQPjM5R14M1HTvZ4eZPEou8YJ3phkd6Dp1PYw1iFSzVNFmidK9fZGj8p7tLWygzzuR88gJbyiWjcf6Lu9V"
SussybqBBZdrYUvUpNxxT26FFxmX6aksvH57siWTyri,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,10.71,19.8319,17.9129,1.3692e-06,Sold,"2PqjMaMwehXjy8dwK6nSt4z2Bx7JGx3LPPruifeeRyxiPzAeawR1XRQgFx7fftTz74EmiVdW73LDo67A5s32LJgB, WAzK7aUEcqVPCFWUC2R7MMhpbdDven1sCwnr8n2Zy77Vws52YGshS3BdHtkXqg3F94bBsUeyvMJkbUdWNR6yMQu, 5DTqP1XqbrBGYheiNZtcDKBEboEjufsSBgsRTsgr5uiDp2fTN1BFYa6bZE6xa4sT21KatkPgxcb2ra8hXbyEWkco, 4NYvfV4GWW5twBzBQ1G9Wx7oiy65fUx38UKU32PeDmrTbxkFJHEKUekfZojExPQ2YfttidjuDUJVtr7BpFPCHsh8, 4YriyhKFiarWuNub3iJGReTFBBBH3WgeYHPS2SN6XPqH2kJ9Hi3JsAaqk3xzXCEWrmxPmvhGRhUpGp3dhW1VQrj5, 5G3u1JSPeKjEtrKUYprkjwvwhppYaob4tJ4JQfhztic3wAXQdWdhVpxTWjMijJ9myUCMePFK3oGbmWDeVigLSaWP, 4CY8RH3Ei1kbc34MB1FzZQCxmjvwLuYy5qBorjLbveHACSvPjzhSCMr9uUbb5mpcYYiwdk8eLtstU4STN8hqcn9s, 5C7vhJEVwHbJ2s4n351J92WtdRC1RdEcn3QHKvXT6VVYtioCutHoJmiA2nhrCU2Rm9TDYgDJapgeEymYxtpBr4Cz","2zswZQ9Nrs4biW57USbp8MHcx67G5c8sqoXF4qPrf1xGMqjPt7C2cDQ5eq7Dd1R49tZDh3ruHU1QauruR3ddL6zu, 3WTpuCJQ8TfJrPrJniuZLS36a7MPbw6JZFe6VLGMekiwLC4duBTL3dxZoRLs37z6gZqfHUmZiQJDRyz8ZCzggyAx, MHXkNJWC5eyDktM6yNc1C5vvQQDz4TH3ziYs6ZAVWro1qmdhYXWkjf3uH7ZxkiGNCabiVU6JG7AbBxtuFhfogix, 357pEhhULgx6J2LU31QE3XwCCD6Ssh4JwJw8CvyumyUWwXaBBgYf2XH7qcq14FPghkbeFzGabAPpegsRZE9JJg7v, 5j5dZH9aetajT7VaNtyXzY1xPmom2dAmQXne3BSh8LW5P9pifouzpbebP2JtWmzorHVYsqpW3SgufLCFA6yfkLj2, 57CNFuVenDwm1vqRc3q2bnHV6zCkLqD2UoaDJMSEipDMuXKMbcK6mmcbzzwFAXNxDTibgf4oeiGtUkCV1kxpZdJL, 5KqNc56W4TpQLp8wD35foD1sUfTpNxoTQkD9JQUwyJpXPdCBNEBS7Bbx2q18uDfcHukxoeNgkdRwP724BtimbAnd, 3KYkLnwkPuHURBV63WrX9uXiFqQzYGKnC5CS5LDXo9d5WD6usArDF6HVx9Di6Au21qwA1bhTdx5QwAn28ktXzFhJ"
9gXWpNKzxG2QyvMFFSg1p8RtW79tBvTt3nmA5by1oMez,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,446.35,16.4015,6.004,8.253e-07,"Partially sold, holding 3637542.6575 tokens",5ksCzhWf3B3pior5dQFPbupa3g9Fvvn7XTBNvLQ5xPRFyA79RPen5dJY76SsvRRxo9oYsDKMnfsTYpnti7R8BZM3,4e5RUfQ7HE3F93Tgm5DYa3A3ze3fLfBh6LL7X97aimMA5RAjLE7N6Lb4oaUfZXGi5y6f1DQNZrS15vy9Hx8NEurh
5zDu7gG14jouysXu1prUuanjEhu2EkGSsbx5qr14TTgM,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,3.83,2.0809,2.004,8.257e-07,Sold,3Rs2tvUuisGUMuXDy4jzP4YgdTePUXWGHeGH9g3Zv3Qjr7S28hu79SdRuaKXpyCpiR9HXV5D7KiztDU8vZW3PJ7H,4ZJsNecsjovu2m2Bq3uErqbM5AkY4vv9jRnxQKcDApiu3Zeu4WD6kRvJtrk8Tkr5fi1G3eAyqCHuLUVKcCMRFeFt
YvEsBWpHK5PJ6Q8m4YrocwKeWys1NG67pbgi73UPnuX,71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,176.12,27.9271,10.114,9.178e-07,Sold,3vNamsQdR26jYW7KYsA7k54RVyNW42eBhQeRbMtbRYTEzuXvewkx4dPdbDnKVxe9vfMhBryJ8TywmEXwQ9UTWxN8,"5dRtfjy86meXNsEM5MfPxRwYK2EaWATtcT6Nw1cf3hVd7U6BsrkovNk1Dv8yGABpE1HQcv6Ppm66Ffu8otCDyYaB, J7ZsMYCPaXAFDo4Hr688tEa8nUSdLkXDaVRsefDgo6iGaC4KcqXB4mLAwZ9Rg7DoAqycB4oSMRYgvGZnrrdAtkQ, 59ZF5aieacwiyoZjidTzA9V8QR2mN8X8sVEsHL7cWDRHoMbV7SjiiLYS2u88xzPQFQNQEEnzpveu9xNLCKVbjhn2, 2xkV2pTTRqBTi1wmTpETCjQDg5qDh1Tggf8NgXNibXkdyDDaHedUK3YYaE9dyd7wWo7PsTux9H92ho6gNMkLWPXK, 4ZoT1pFvcdxpFsLixRnauZyLkTs9vkSCrQAbWNhTGHDr9cuJuCwPiDWVq3nUU43Mh7H58GPVmg13gdW1aVPVKAzF, yr28F51S3c1tSUju3mBy7a1pW63Sfu4v8K9BxKxtRrNnnnSajZPwNWpgTP5EhMQZJyppnUXiYdSLxXjRChRbYKF, 4i5qy1ep71U1aDnJX8GZduP41ukqX8X926dK14aFxhGpP1A3ATvWyatu3BnhEPkVNUeMo6wAXJj7DuZAbsjPG1M3, kLfsq6VFoEpibjcCoLUDB4pDLVxHfG1BRZ24v1MEHqyPq29kcw3ebWCXDmoSbvxY44mZC7FTo1jSgNR5kasAnWt, 5z224uEMgUS8o4BxFsAeZSpit1Qf5MXauqqipt5c7RAQpZZXSUDmsaJ893r1j3oKGW5r3ik2ZhgaKySKQjFUorea, 2bFSiHHn1b4jKYZTcwVydE7LUPKnyHnomJDxYvtCFEUtMGaVVHZXgKQuG6hZ4kZKVC3Sm9baSNBcj6GdA6esmSxt, 5NgKb8bYXWjYK8Xxxkh67UGeTTKho1RPq2oTaLy7LNodWjhWGjNhHEaAkALproi57CfbX69e9Tk4gkxbbz27NrGq, 5uMrBp7KWdZ6sGK3LgGRGGYLnEu927y7VedNtAALLPpYiawC1D14VnViG98xpzxoKaJQJiwuxZE9vs8cDFcuw66V"
